81306 1768149
0 1 0.000406
0 2 0.004082
0 3 0.001464
0 4 0.003425
0 5 0.001008
0 6 0.013889
0 7 0.015385
0 8 0.005556
0 9 0.001326
0 10 0.001739
0 11 0.005155
0 13 0.001111
0 15 0.002445
0 16 0.002083
0 18 0.002778
0 23 0.002208
0 24 0.002008
0 25 0.007812
0 28 0.002066
0 30 0.000955
0 31 0.011111
0 32 0.003774
0 34 0.004854
0 35 0.002786
0 36 0.001996
0 37 0.009804
0 38 0.009901
0 39 0.002778
0 40 0.002188
0 41 0.007143
0 42 0.001401
0 43 0.003984
0 44 0.003676
0 45 0.002817
0 46 0.004525
0 47 0.008547
0 49 0.003436
0 50 0.004032
0 53 0.012048
0 54 0.002770
0 55 0.005181
0 56 0.000867
0 57 0.006329
0 58 0.006849
0 59 0.002762
0 61 0.005025
0 63 0.000311
0 64 0.006135
0 67 0.005263
0 74 0.005263
0 75 0.005952
0 76 0.003509
0 78 0.000405
0 80 0.008403
0 81 0.002114
0 82 0.003077
0 85 0.003953
0 87 0.001093
0 89 0.003279
0 90 0.000366
0 92 0.003279
0 93 0.027027
0 94 0.001988
0 97 0.014286
0 101 0.001156
0 105 0.005714
0 106 0.001587
0 110 0.004717
0 113 0.008000
0 115 0.007463
0 118 0.004202
0 119 0.013158
0 121 0.004329
0 124 0.005650
0 128 0.005525
0 129 0.014493
0 133 0.001408
0 134 0.003937
0 137 0.008065
0 138 0.014493
0 139 0.001761
0 142 0.003401
0 144 0.005848
0 151 0.001404
0 153 0.001984
0 156 0.002481
0 165 0.002092
0 171 0.023810
0 174 0.071429
0 184 0.002299
0 194 0.037037
0 216 0.022727
0 378 0.001639
0 1864 0.009615
0 1867 0.003460
0 3766 0.035714
0 4470 0.003378
0 4558 0.003257
0 4995 0.001355
0 15934 0.005405
0 18113 0.002188
0 19410 0.007937
0 19680 0.005435
0 19682 0.002088
0 19691 0.006369
0 19693 0.005952
0 19696 0.004566
0 19697 0.018868
0 19700 0.002890
0 19704 0.004464
0 19711 0.002865
0 19714 0.005102
0 19717 0.004630
0 19720 0.004505
0 19727 0.002653
0 19729 0.002375
0 19730 0.010000
0 19731 0.004049
0 19742 0.007752
0 19744 0.007576
0 19745 0.005952
0 19746 0.002950
0 19755 0.003937
0 19756 0.008621
0 19757 0.006993
0 19768 0.006289
0 19770 0.020833
0 19776 0.009174
0 19785 0.006757
0 20165 0.003040
0 23168 0.004329
0 23172 0.015625
0 23185 0.011628
0 23205 0.005236
0 23208 0.026316
0 24333 0.004950
0 24335 0.009804
0 24336 0.009524
0 24338 0.006098
0 24339 0.013333
0 24346 0.004651
0 24347 0.009804
0 24349 0.002119
0 24352 0.011905
0 24353 0.003788
0 24354 0.027778
0 24358 0.011905
0 24359 0.003571
0 24360 0.017544
0 24363 0.006329
0 24367 0.007874
0 24369 0.011111
0 24370 0.033333
0 24374 0.010101
0 24383 0.066667
0 24384 0.020408
0 30644 0.016667
0 30645 0.013514
0 30654 0.005714
0 30655 0.034483
0 30656 0.006410
0 30661 0.047619
0 30663 0.033333
0 30668 0.011905
0 30673 0.062500
0 30678 0.008197
0 30682 0.011905
0 30685 0.035714
0 30686 0.021739
0 30693 0.025000
0 30709 0.047619
0 30715 0.043478
0 32424 0.006452
0 35880 0.005747
0 36639 0.006667
0 36641 0.009091
0 36660 0.007353
0 38939 0.010638
0 38940 0.014493
0 38944 0.012821
0 38950 0.007092
0 38959 0.100000
0 38964 0.038462
0 39643 0.020833
0 39661 0.023256
0 40480 0.007812
0 40484 0.028571
0 40495 0.009524
0 40500 0.010989
0 40723 0.011628
0 40792 0.111111
0 40798 0.125000
0 41869 0.008929
0 41898 0.015152
0 43872 0.014925
0 43873 0.007407
0 43875 0.022727
0 43880 0.008696
0 43891 0.012195
0 43901 0.020833
0 43904 0.166667
0 43906 0.040000
0 44697 0.017241
0 44727 0.011364
0 45155 0.058824
0 45162 0.055556
0 48330 0.090909
0 53154 0.052632
0 53157 0.032258
0 53163 0.047619
0 53171 0.011628
0 53172 0.047619
0 53176 0.062500
0 53581 0.047619
1 9 0.001326
1 30 0.000955
1 37 0.009804
1 42 0.001401
1 56 0.000867
1 63 0.000311
1 78 0.000405
1 87 0.001093
1 90 0.000366
1 100 0.004274
1 133 0.001408
1 151 0.001404
1 167 0.011905
1 1758 0.000296
1 1947 0.001346
1 2509 0.004630
1 3125 0.005848
1 3171 0.006757
1 4479 0.045455
1 4558 0.003257
1 4582 0.111111
1 4995 0.001355
1 7345 0.013333
1 8858 0.005102
1 15901 0.014925
1 15902 0.022727
1 19411 0.001368
1 19707 0.011765
1 19719 0.009524
1 19724 0.016949
1 19761 0.010101
1 19779 0.011628
1 20597 0.002475
1 22332 0.008197
1 24381 0.027027
1 35880 0.005747
1 37385 0.019231
1 37395 0.041667
1 37398 0.041667
1 37466 0.006803
1 38943 0.076923
1 38946 0.111111
1 38955 0.111111
1 39703 0.005291
1 41905 0.050000
1 60967 0.045455
1 60970 0.090909
1 60972 0.090909
1 60973 0.062500
1 61388 0.076923
1 65817 0.010101
2 1 0.000406
2 3 0.001464
2 6 0.013889
2 8 0.005556
2 9 0.001326
2 11 0.005155
2 16 0.002083
2 18 0.002778
2 20 0.004673
2 35 0.002786
2 38 0.009901
2 39 0.002778
2 40 0.002188
2 41 0.007143
2 42 0.001401
2 44 0.003676
2 49 0.003436
2 50 0.004032
2 54 0.002770
2 57 0.006329
2 59 0.002762
2 61 0.005025
2 63 0.000311
2 67 0.005263
2 74 0.005263
2 75 0.005952
2 76 0.003509
2 77 0.250000
2 78 0.000405
2 82 0.003077
2 83 0.003861
2 86 0.006250
2 87 0.001093
2 88 0.018182
2 89 0.003279
2 90 0.000366
2 92 0.003279
2 97 0.014286
2 107 0.004292
2 110 0.004717
2 122 0.011494
2 123 0.002625
2 124 0.005650
2 126 0.041667
2 127 0.012500
2 138 0.014493
2 139 0.001761
2 156 0.002481
2 165 0.002092
2 166 0.027027
2 171 0.023810
2 189 0.166667
2 200 0.142857
2 378 0.001639
2 1862 0.025000
2 1863 0.002538
2 1867 0.003460
2 4431 0.003003
2 4478 0.003745
2 4479 0.045455
2 19682 0.002088
2 19686 0.023810
2 19687 0.008772
2 19691 0.006369
2 19693 0.005952
2 19697 0.018868
2 19699 0.018868
2 19711 0.002865
2 19715 0.012346
2 19719 0.009524
2 19721 0.035714
2 19731 0.004049
2 19744 0.007576
2 19749 0.002597
2 19756 0.008621
2 19770 0.020833
2 19781 0.008696
2 23168 0.004329
2 23201 0.007042
2 24333 0.004950
2 24347 0.009804
2 24359 0.003571
2 24363 0.006329
2 30644 0.016667
2 30645 0.013514
2 30652 0.022727
2 30653 0.090909
2 30657 0.010526
2 30660 0.030303
2 30678 0.008197
2 30681 0.014286
2 30695 0.020000
2 30701 0.034483
2 30710 0.083333
2 35892 0.007143
2 36646 0.035714
2 38944 0.012821
2 40185 0.033333
2 40502 0.008475
2 40679 0.008621
2 40697 0.011628
2 40782 0.023810
2 40789 0.076923
2 40797 0.031250
2 40802 0.019231
2 41840 0.166667
2 41841 0.032258
2 41842 0.040000
2 41855 0.166667
2 41863 0.040000
2 41866 0.100000
2 41867 0.024390
2 43886 0.043478
2 43894 0.018182
2 44698 0.028571
2 44705 0.058824
2 44711 0.019231
2 44717 0.071429
2 45163 0.090909
2 45611 0.026316
2 45616 0.041667
2 45617 0.033333
2 45639 0.076923
2 45644 0.016949
2 45647 0.013889
2 45683 0.250000
2 47984 0.028571
2 47989 0.032258
2 47995 0.035714
2 48002 0.040000
2 48009 0.055556
2 48324 0.071429
2 48330 0.090909
2 48334 0.050000
2 48337 0.166667
2 48339 0.125000
2 50667 0.066667
2 54900 0.027027
2 54918 0.047619
3 1 0.000406
3 2 0.004082
3 5 0.001008
3 8 0.005556
3 9 0.001326
3 12 0.003731
3 13 0.001111
3 14 0.041667
3 16 0.002083
3 27 0.020000
3 39 0.002778
3 40 0.002188
3 41 0.007143
3 42 0.001401
3 43 0.003984
3 44 0.003676
3 47 0.008547
3 48 0.003257
3 50 0.004032
3 56 0.000867
3 58 0.006849
3 60 0.038462
3 61 0.005025
3 63 0.000311
3 70 0.002899
3 73 0.013699
3 76 0.003509
3 78 0.000405
3 80 0.008403
3 81 0.002114
3 82 0.003077
3 83 0.003861
3 85 0.003953
3 87 0.001093
3 89 0.003279
3 90 0.000366
3 92 0.003279
3 94 0.001988
3 99 0.003021
3 110 0.004717
3 113 0.008000
3 128 0.005525
3 129 0.014493
3 131 0.006494
3 139 0.001761
3 142 0.003401
3 146 0.003704
3 155 0.090909
3 156 0.002481
3 157 0.032258
3 166 0.027027
3 173 0.001692
3 176 0.025641
3 179 0.066667
3 180 0.090909
3 184 0.002299
3 199 0.100000
3 363 0.027027
3 378 0.001639
3 1867 0.003460
3 1925 0.038462
3 1947 0.001346
3 4428 0.001024
3 4452 0.004098
3 4478 0.003745
3 4558 0.003257
3 6943 0.008547
3 18138 0.019231
3 18190 0.032258
3 19410 0.007937
3 19679 0.020000
3 19686 0.023810
3 19690 0.071429
3 19711 0.002865
3 19714 0.005102
3 19715 0.012346
3 19718 0.022727
3 19719 0.009524
3 19744 0.007576
3 19756 0.008621
3 19770 0.020833
3 19785 0.006757
3 20165 0.003040
3 20167 0.012048
3 22347 0.019608
3 22355 0.004184
3 22356 0.006536
3 22378 0.013699
3 22397 0.019231
3 22399 0.050000
3 22439 0.028571
3 23165 0.014925
3 23168 0.004329
3 23169 0.012500
3 23172 0.015625
3 23201 0.007042
3 23205 0.005236
3 23214 0.125000
3 23221 0.041667
3 24338 0.006098
3 24342 0.017241
3 24363 0.006329
3 26456 0.015625
3 26526 0.090909
3 27065 0.025641
3 27066 0.100000
3 27094 0.014286
3 27108 0.011628
3 27124 0.004808
3 32440 0.016393
3 35880 0.005747
3 35896 0.047619
3 36634 0.013514
3 36635 0.015625
3 36641 0.009091
3 36659 0.125000
3 36689 0.022222
3 37466 0.006803
3 38944 0.012821
3 38949 0.500000
3 38950 0.007092
3 39605 0.007463
